function_name	source_file	function_role	called_from
render_corrected_figure1b_landscape_v5	figure_helpers_v6.R	Render corrected Figure 1B panel	render_v5_panels
render_figure1a_merged_workflow_v5	figure_helpers_v6.R	Render workflow panel using local workflow script	render_v5_panels
build_merged_imrs_workflow_v5	merged_workflow_v6.R	Render Figure 1A workflow	render_figure1a_merged_workflow_v5
folder_path	panel_builders_v6.R	Resolve output panel directory	make_Figure functions
log_msg	panel_builders_v6.R	Panel-builder logging	panel builder setup and functions
add_warning	panel_builders_v6.R	Panel-builder warning collection	panel builder functions
write_log	panel_builders_v6.R	Panel-builder log output	panel builder
theme_imrs_publication	panel_builders_v6.R	Common plot theme	make_Figure functions
check_required_paths	panel_builders_v6.R	Validate released table availability	panel builder initialization
read_required_tsv	panel_builders_v6.R	Read released table	panel builder initialization
check_required_cols	panel_builders_v6.R	Validate column schema	panel builder functions
check_not_all_na	panel_builders_v6.R	Validate plotted field	panel builder functions
safe_num	panel_builders_v6.R	Numeric conversion helper	panel builder functions
safe_chr	panel_builders_v6.R	Text conversion helper	panel builder functions
logic_col	panel_builders_v6.R	Boolean conversion helper	panel builder functions
strip_ens	panel_builders_v6.R	Gene ID normalization	panel builder functions
first_present	panel_builders_v6.R	Column selection helper	panel builder functions
display_text	panel_builders_v6.R	Display-label helper	panel builder functions
short_text	panel_builders_v6.R	Label truncation helper	panel builder functions
collapse_paths	panel_builders_v6.R	Source path manifest helper	panel builder functions
ordered_factor	panel_builders_v6.R	Ordering helper	panel builder functions
format_time_label	panel_builders_v6.R	Time label helper	panel builder functions
dataset_context_one	panel_builders_v6.R	Context label helper	dataset_context_label
dataset_context_label	panel_builders_v6.R	Context label vectorization	make_Figure functions
normalize_manuscript_group	panel_builders_v6.R	Role-label normalization	attach_role_group
is_excluded_unclear_value	panel_builders_v6.R	Role exclusion detection	clean_dataset_role_for_plot
count_excluded_unclear_rows	panel_builders_v6.R	Role-exclusion audit	clean_dataset_role_for_plot
clean_dataset_role_for_plot	panel_builders_v6.R	Plot role filtering	panel builder data preparation
map_score_label	panel_builders_v6.R	Comparator label mapping	panel builder data preparation
save_imrs_plot	panel_builders_v6.R	Panel write hook	overridden by render_v5_panels
save_imrs_grid	panel_builders_v6.R	Grid write hook	overridden by render_v5_panels
validate_png_outputs	panel_builders_v6.R	Builder output validation	panel builder standalone path
validate_manifest	panel_builders_v6.R	Builder manifest validation	panel builder standalone path
attach_role_group	panel_builders_v6.R	Attach manuscript group	panel builder initialization
make_discovery_palette	panel_builders_v6.R	Anchor palette helper	panel builder initialization
write_dataset_context_companion	panel_builders_v6.R	Write context companion	table builder standalone path
prepare_weights	panel_builders_v6.R	Prepare coefficient labels	make_Figure2B; make_Figure2C; make_Figure2D
validation_tbl	panel_builders_v6.R	Prepare validation table	make_Figure3 functions
primary_validation_plot	panel_builders_v6.R	Render primary-validation panel	make_Figure3B; make_Figure3C
join_role_group	panel_builders_v6.R	Attach roles to robustness tables	make_Figure5 functions
make_Figure1A through make_Figure5I	panel_builders_v6.R	Main manuscript panel constructors	render_v5_panels via loaded builder environment
make_FigureSA through make_FigureSF	panel_builders_v6.R	Supplementary panel constructors	render_v5_panels via loaded builder environment
