"file"	"detected_text_or_pattern"	"context"	"category"	"public_blocker_yes_no"	"recommended_action"	"fixed_yes_no"	"notes"
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\FINAL_PRE_GITHUB_SUMMARY.md"	"Zenodo DOI"	"- Replace GitHub URL, reviewer-access, and Zenodo DOI placeholders in availability documents and generated candidate statements."	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\FINAL_PRE_GITHUB_SUMMARY.md"	"LICENSE_PLACEHOLDER"	"- Choose a real license and replace `LICENSE_PLACEHOLDER.txt` with `LICENSE` after approval."	"placeholder_license"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\LICENSE_DECISION_NEEDED.md"	"TO_BE_DECIDED"	"Until a final license is selected, `LICENSE_PLACEHOLDER.txt` is retained at the repository root and `CITATION.cff` marks the license field as `TO_BE_DECIDED`."	"placeholder_license"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\LICENSE_DECISION_NEEDED.md"	"PLACEHOLDER"	"Until a final license is selected, `LICENSE_PLACEHOLDER.txt` is retained at the repository root and `CITATION.cff` marks the license field as `TO_BE_DECIDED`."	"other"	"yes"	"Review placeholder before final public release."	"no"	"Generic placeholder detected."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\LICENSE_DECISION_NEEDED.md"	"LICENSE_PLACEHOLDER"	"Until a final license is selected, `LICENSE_PLACEHOLDER.txt` is retained at the repository root and `CITATION.cff` marks the license field as `TO_BE_DECIDED`."	"placeholder_license"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\RELEASE_CONTENTS.tsv"	"PLACEHOLDER"	"""LICENSE_PLACEHOLDER.txt""	""repository_core""	""yes""	""GitHub clean repository release candidate content""	""Pre-GitHub administrative cleanup inventory"""	"other"	"yes"	"Review placeholder before final public release."	"no"	"Generic placeholder detected."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\RELEASE_CONTENTS.tsv"	"LICENSE_PLACEHOLDER"	"""LICENSE_PLACEHOLDER.txt""	""repository_core""	""yes""	""GitHub clean repository release candidate content""	""Pre-GitHub administrative cleanup inventory"""	"placeholder_license"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\RELEASE_CONTENTS.tsv"	"CITATION_PLACEHOLDER"	"""docs\reproducibility\placeholder_archive\CITATION_PLACEHOLDER.cff""	""reproducibility_doc""	""yes""	""GitHub clean repository release candidate content""	""Pre-GitHub administrative cleanup inventory"""	"other"	"yes"	"Review placeholder before final public release."	"no"	"Generic placeholder detected."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\REVIEWER_REPRODUCTION_STATUS.md"	"PLACEHOLDER"	"- Choose a real open-source license instead of `LICENSE_PLACEHOLDER.txt`."	"other"	"yes"	"Review placeholder before final public release."	"no"	"Generic placeholder detected."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\REVIEWER_REPRODUCTION_STATUS.md"	"reviewer-access"	"- Replace reviewer-access link placeholder."	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\REVIEWER_REPRODUCTION_STATUS.md"	"GitHub repository URL"	"- Replace GitHub repository URL placeholder."	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\REVIEWER_REPRODUCTION_STATUS.md"	"LICENSE_PLACEHOLDER"	"- Choose a real open-source license instead of `LICENSE_PLACEHOLDER.txt`."	"placeholder_license"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\CODE_AND_DATA_AVAILABILITY_DRAFT.md"	"TO_BE_ADDED_GITHUB_REPOSITORY_URL"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, reviewer-facing manuscript-output reproduction layer, retained-gene enrichment analysis, supplementary table generation, and reproducibility documentation will be made "	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\CODE_AND_DATA_AVAILABILITY_DRAFT.md"	"TO_BE_ADDED_REVIEWER_ACCESS_LINK"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, reviewer-facing manuscript-output reproduction layer, retained-gene enrichment analysis, supplementary table generation, and reproducibility documentation will be made "	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\CODE_AND_DATA_AVAILABILITY_DRAFT.md"	"TO_BE_ADDED_ZENODO_DOI"	"Analysis code and reproducibility materials for the IMRS manuscript will be available at `TO_BE_ADDED_GITHUB_REPOSITORY_URL` and archived at `TO_BE_ADDED_ZENODO_DOI` or an equivalent archival DOI. Public dataset accessions are listed in the"	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\CODE_AND_DATA_AVAILABILITY_DRAFT.md"	"TO_BE_ADDED"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, reviewer-facing manuscript-output reproduction layer, retained-gene enrichment analysis, supplementary table generation, and reproducibility documentation will be made "	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\CODE_AND_DATA_AVAILABILITY_DRAFT.md"	"private repository link"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, reviewer-facing manuscript-output reproduction layer, retained-gene enrichment analysis, supplementary table generation, and reproducibility documentation will be made "	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\CODE_AND_DATA_AVAILABILITY_DRAFT.md"	"reviewer-access"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, reviewer-facing manuscript-output reproduction layer, retained-gene enrichment analysis, supplementary table generation, and reproducibility documentation will be made "	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\final_reproducibility_equivalence_summary.txt"	"reviewer-access"	"- Fill repository URL, reviewer-access link, and Zenodo/archive DOI placeholders."	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_code_availability_statement_candidate.txt"	"private repository link"	"For peer review, code is available at [private repository link or reviewer-access archive], with the v6 analysis outputs corresponding to the submitted manuscript version."	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_code_availability_statement_candidate.txt"	"reviewer-access"	"For peer review, code is available at [private repository link or reviewer-access archive], with the v6 analysis outputs corresponding to the submitted manuscript version."	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_code_availability_statement_candidate.txt"	"[GitHub repository URL]"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_code_availability_statement_candidate.txt"	"GitHub repository URL"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_code_availability_statement_candidate.txt"	"[Zenodo DOI"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_code_availability_statement_candidate.txt"	"Zenodo DOI"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_data_availability_statement_candidate.txt"	"Zenodo DOI"	"All raw sequencing datasets analyzed in this study were obtained from public repositories, primarily GEO, under the accession numbers listed in Supplementary Table S1. Reprocessed metadata, split-design files, frozen IMRS coefficient tables"	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\docs\reproducibility\IMRS_repository_release_plan_v6.md"	"reviewer-access"	"If the repository remains private before acceptance, provide a reviewer-access link or archive. The reviewer package should include the v6 outputs, scripts, manifests, data/code availability statements, and this NAR G&B readiness folder."	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\v6_output_manifest.tsv"	"D:/IMRS_Project"	"Supplementary Figure S2	A	D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo/results_release_templates/Priority3_gene_program_enrichment/figures/FigureS2A_GO_BP_enrichment.png	D:/IMRS_Project/final_manuscripts"	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\logs\run_all_manuscript_outputs_v6_steps.tsv"	"D:/IMRS_Project"	"1	main_figure_regeneration	D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo/scripts/active_manuscript/00_generate_all_reorganized_figures_revised_v5.R	Main Figures 1-5 and Supplementary Figure S1 outputs in "	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\logs\run_all_manuscript_outputs_v6_summary.txt"	"D:/IMRS_Project"	"Log file: D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo/results_release_templates/logs/run_all_manuscript_outputs_v6_20260524_144209.log"	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_code_availability_statement_candidate.txt"	"private repository link"	"For peer review, code is available at [private repository link or reviewer-access archive], with the v6 analysis outputs corresponding to the submitted manuscript version."	"reviewer_private_link"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_code_availability_statement_candidate.txt"	"reviewer-access"	"For peer review, code is available at [private repository link or reviewer-access archive], with the v6 analysis outputs corresponding to the submitted manuscript version."	"reviewer_private_link"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_code_availability_statement_candidate.txt"	"[GitHub repository URL]"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_code_availability_statement_candidate.txt"	"GitHub repository URL"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_code_availability_statement_candidate.txt"	"[Zenodo DOI"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_code_availability_statement_candidate.txt"	"Zenodo DOI"	"Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available "	"placeholder_url"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_data_availability_statement_candidate.txt"	"Zenodo DOI"	"All raw sequencing datasets analyzed in this study were obtained from public repositories, primarily GEO, under the accession numbers listed in Supplementary Table S1. Reprocessed metadata, split-design files, frozen IMRS coefficient tables"	"placeholder_url"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_NAR_GB_submission_gap_audit_v6.tsv"	"private repository link"	"Reviewer access package	Inventory created.	NAR_GB_readiness/IMRS_review_package_inventory_v6.tsv	manual_action_needed	Provide private repository link or reviewer archive.	Needs manual upload/access control."	"reviewer_private_link"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_NAR_GB_submission_gap_audit_v6.tsv"	"Zenodo DOI"	"Data availability statement	Candidate created.	NAR_GB_readiness/IMRS_data_availability_statement_candidate.txt	manual_action_needed	Replace repository/Zenodo DOI placeholder.	Raw GEO data should be accessed by accession when redistribution "	"placeholder_url"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_repository_release_plan_v6.md"	"reviewer-access"	"If the repository remains private before acceptance, provide a reviewer-access link or archive. The reviewer package should include the v6 outputs, scripts, manifests, data/code availability statements, and this NAR G&B readiness folder."	"reviewer_private_link"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_reproducibility_checklist_v6.tsv"	"reviewer-access"	"Repository release plan	complete	NAR_GB_readiness/IMRS_repository_release_plan_v6.md	Includes GitHub/Zenodo/reviewer-access plan."	"reviewer_private_link"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\IMRS_review_package_inventory_v6.tsv"	"Zenodo DOI"	"Data availability statement	NAR_GB_readiness/IMRS_data_availability_statement_candidate.txt	Manuscript data-availability candidate.	no	availability statements	yes	repository/Zenodo DOI placeholder	Manual action needed before submission."	"placeholder_url"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\Priority6_NAR_GB_readiness_log.txt"	"D:/IMRS_Project"	"[2026-05-24 14:44:05] Project root:  D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo"	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\NAR_GB_readiness\Priority6_NAR_GB_readiness_log.txt"	"reviewer-access"	"[2026-05-24 14:44:17] Manual actions remaining: replace repository URL, reviewer-access link, and archival DOI placeholders; confirm raw-data redistribution/retrieval policy; consider creating renv.lock or environment.yml."	"reviewer_private_link"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\Priority3_gene_program_enrichment\Priority3_enrichment_analysis_log.txt"	"D:/IMRS_Project"	"[2026-05-24 14:42:10] Project root:  D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo"	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\Priority3_gene_program_enrichment\tables\IMRS_enrichment_background_audit.tsv"	"D:/IMRS_Project"	"D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo/data/derived/gene_power.tsv	All anchor-phase genes present in gene_power.tsv after anchor meta-analysis/power evaluation; used as the project-specific anchor-"	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\supplementary_tables\supplementary_table_generation_log.txt"	"D:/IMRS_Project"	"[2026-05-24 14:44:03] Project root:  D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo"	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\results_release_templates\supplementary_tables\supplementary_table_inventory.tsv"	"D:/IMRS_Project"	"generation_log	supplementary_table_generation_log.txt				Generated package metadata	yes	Source file unavailable:  manuscript_roles  ->  D:/IMRS_Project/final_manuscripts/IMRS_Public_Release_Candidate/GitHub_clean_repo/data/derived/manuscrip"	"public_doc_local_path"	"no"	"Ignored generated output; do not commit."	"no"	"Generated output folder is ignored."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\active_manuscript\build_NAR_GB_readiness_v6.R"	"private repository link"	"""For peer review, code is available at [private repository link or reviewer-access archive], with the v6 analysis outputs corresponding to the submitted manuscript version."","	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\active_manuscript\build_NAR_GB_readiness_v6.R"	"reviewer-access"	"""For peer review, code is available at [private repository link or reviewer-access archive], with the v6 analysis outputs corresponding to the submitted manuscript version."","	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\active_manuscript\build_NAR_GB_readiness_v6.R"	"[GitHub repository URL]"	"""Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available"	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\active_manuscript\build_NAR_GB_readiness_v6.R"	"GitHub repository URL"	"""Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available"	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\active_manuscript\build_NAR_GB_readiness_v6.R"	"[Zenodo DOI"	"""Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available"	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\active_manuscript\build_NAR_GB_readiness_v6.R"	"Zenodo DOI"	"""Analysis code for the frozen, transfer-oriented IMRS scoring framework, figure generation, robustness analyses, comparator-signature benchmarking, retained-gene enrichment analysis, and supplementary table generation will be made available"	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\01_run_all_metadata_build.R"	"D:/IMRS_Project"	"project_root <- ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
