curation_id	curation_type	dataset_id	split_id	curated_field	original_value	curated_value	source_evidence	source_PMID	source_DOI	rationale	curator	curation_date_if_available	used_in_stage	used_in_figure_or_table	review_status	notes
CUR00023	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00024	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00025	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00026	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00027	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00028	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00029	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00030	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00031	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00032	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00033	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00034	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00035	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00036	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00037	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00038	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00039	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00040	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00041	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00042	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00043	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00044	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00045	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00046	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00047	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00048	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00049	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00050	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00051	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00052	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00053	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00054	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
