source_split_file	split_id	dataset_id_guess	gse_id	tissue_from_filename	time_h_from_filename	treatment_token	control_token	n_rows	n_delivery	n_control	treatment_group_raw	control_group_raw	tissue_recovered	time_h_recovered	is_scored_in_current_eval
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Blood	12	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Blood	1	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Blood	1	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Blood	24	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Blood	24	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Blood	3	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Blood	3	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Blood	6	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Blood	6	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Blood	72	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Blood	72	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Blood	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Muscle	12	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Muscle	12	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Muscle	1	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Muscle	1	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Muscle	24	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Muscle	24	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Muscle	3	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Muscle	3	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Muscle	6	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Muscle	6	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Muscle	72	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	Muscle	72	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	Muscle	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	dLN	12	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	dLN	12	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	dLN	1	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	dLN	1	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	dLN	24	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	dLN	24	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	dLN	3	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	dLN	3	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	dLN	6	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	dLN	6	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	dLN	72	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	GSE264344	GSE264344	dLN	72	delivery_ad5	baseline_0	10	5	5	delivery_ad5	baseline_0	dLN	NA	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0	GSE279372	GSE279372	draining lymph nodes	24	GID00110503	baseline_0	8	4	4	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	baseline_0	draining lymph nodes	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0	GSE279372	GSE279372	draining lymph nodes	24	GID00110754	baseline_0	8	4	4	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	baseline_0	draining lymph nodes	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0	GSE279372	GSE279372	draining lymph nodes	24	GID00114748	baseline_0	8	4	4	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	baseline_0	draining lymph nodes	24	TRUE
