original_script_name	original_absolute_location	existing_repo_location_if_any	copied_portable_location	pipeline_stage	expected_order	main_inputs	main_outputs	hard_coded_paths_found	setwd_found	helper_dependencies	porting_action	algorithmic_logic_changed	status	notes
METADATA_BUILD.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/METADATA_BUILD.R	scripts/full_pipeline/provenance_legacy/METADATA_BUILD.R	NA	upstream_metadata_build	NA	raw metadata acquisition tables	verified metadata candidates	YES	NO	readr; dplyr; stringr; tibble	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	The public workflow starts from already verified metadata.
01_run_all_metadata_build.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/01_run_all_metadata_build.R	scripts/full_pipeline/provenance_legacy/01_run_all_metadata_build.R	NA	upstream_metadata_build	NA	raw metadata folders; METADATA_BUILD.R	metadata build summaries	YES	NO	METADATA_BUILD.R; readr; dplyr; stringr; tibble	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	The public workflow starts from already verified metadata.
Post-09_Check.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/Post-09_Check.R	scripts/full_pipeline/provenance_legacy/Post-09_Check.R	NA	optional_post_evaluation	NA	Step09 evaluation tables	post-evaluation checks	YES	NO	readr; dplyr; tibble; pROC	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Optional audit, not required for core v6 figure-input packaging.
audit_gse264344.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/audit_gse264344.R	scripts/full_pipeline/provenance_legacy/audit_gse264344.R	NA	optional_context_audit	NA	scores; scoring design	dataset-specific audit	YES	NO	readr; dplyr; stringr; tibble; tidyr; ggplot2; forcats	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Optional boundary/context audit.
post_09A_flag_low_imrs_datasets.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/post_09A_flag_low_imrs_datasets.R	scripts/full_pipeline/provenance_legacy/post_09A_flag_low_imrs_datasets.R	NA	optional_robustness	NA	scores; QC; scoring designs	diagnostic summaries	YES	NO	readr; dplyr; stringr; tidyr; purrr; tibble; ggplot2	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Released robustness provenance is outside the core count-level rerun.
post_09B_diagnose_weak_datasets.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/post_09B_diagnose_weak_datasets.R	scripts/full_pipeline/provenance_legacy/post_09B_diagnose_weak_datasets.R	NA	optional_robustness	NA	diagnostic results; scores; QC; designs	diagnostic extraction tables	YES	NO	readr; dplyr; stringr; tidyr; purrr; tibble	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Released robustness provenance is outside the core count-level rerun.
post_09C_Noise_Rescore.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/post_09C_Noise_Rescore.R	scripts/full_pipeline/provenance_legacy/post_09C_Noise_Rescore.R	NA	optional_robustness	NA	counts; scoring designs; weights	noise-rescore sensitivity outputs	YES	NO	DESeq2; readr; dplyr; stringr; tibble; purrr	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Released robustness provenance is outside the core count-level rerun.
compare_imrs_to_literature.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/literature_check/compare_imrs_to_literature.R	scripts/full_pipeline/provenance_legacy/compare_imrs_to_literature.R	NA	optional_comparator	NA	scores; literature expectation data	comparator outputs	YES	NO	readr; dplyr; stringr; tibble; purrr	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Comparator inputs are released derivatives, not regenerated by the core path.
run_threshold_sensitivity_test.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/sensitivity_test/run_threshold_sensitivity_test.R	NA	NA	optional_robustness	NA	frozen reconstruction scripts; alternate thresholds	threshold sensitivity outputs	YES	NO	fs; frozen reconstruction scripts	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Needed only for the released threshold-sensitivity robustness table.
package_generated_outputs_for_v6_figures.R	NA	NA	scripts/portable_full_pipeline/package_generated_outputs_for_v6_figures.R	06_packaging	06	generated anchor/evaluation tables	generated derived-input root; packaging manifest	NO	NO	readr; yaml	thin_adapter_added	NO	validated_canonical_and_test	This adapter maps filenames only and never overwrites released derived inputs.
run_count_to_v6_outputs.R	NA	scripts/portable_full_pipeline/run_count_to_v6_outputs.R	scripts/portable_full_pipeline/run_count_to_v6_outputs.R	orchestration	00-06	config; ported scripts	stage status; run manifest; logs; session info; Step08 staging manifest	NO	NO	yaml; process launcher	runner_only	NO	validated_canonical_scope_and_all_scored	The runner invokes copied originals, restricts frozen-weight modeling to the fixed anchors, stages all-scored Step08 inputs externally, and clears prior generated Step08 outputs on forced cross-mode reuse to prevent stale Step09 scope.
00_config.R	D:/IMRS_Project/audit/scripts/00_config.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/00_config.R	07_layer2_bridge_audit_helper	07.0	generated Step09/scores/designs; counts; mapping references	shared in-memory helper configuration	YES	NO	readr; dplyr; tidyr; purrr; stringr; tibble	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Configured roots replace original local paths; GSE262515 manuscript-arm lookup points to the staged shared prepared count source.
01_dataset_audit_table.R	D:/IMRS_Project/audit/scripts/01_dataset_audit_table.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/01_dataset_audit_table.R	07_layer2_bridge_audit	07.1	generated Step09 tables; designs	audit/results dataset audit intermediates	YES	NO	00_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Computation retained; helper source path is local to the portable bridge copy.
03_leave_one_gene_out.R	D:/IMRS_Project/audit/scripts/03_leave_one_gene_out.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/03_leave_one_gene_out.R	07_layer2_bridge_robustness	07.2	generated scores; frozen weights; designs	leave_one_gene_out_summary.tsv	YES	NO	00_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Original robustness computation retained.
04_gene_dominance.R	D:/IMRS_Project/audit/scripts/04_gene_dominance.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/04_gene_dominance.R	07_layer2_bridge_robustness	07.3	generated scores; frozen weights; designs	gene_dominance_summary.tsv	YES	NO	00_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Original robustness computation retained.
05_threshold_sensitivity.R	D:/IMRS_Project/audit/scripts/05_threshold_sensitivity.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/05_threshold_sensitivity.R	07_layer2_bridge_robustness	07.4	generated scores; frozen weights; designs	threshold_sensitivity_summary.tsv; threshold_sensitivity_contrast_deltas.tsv	YES	NO	00_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Original robustness computation retained.
06_leave_one_anchor_out.R	D:/IMRS_Project/audit/scripts/06_leave_one_anchor_out.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/06_leave_one_anchor_out.R	07_layer2_bridge_robustness	07.5	generated scores; frozen weights; designs	leave_one_anchor_out_summary.tsv	YES	NO	00_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Preserves the historical script's own anchor definition; active five-anchor figure reference remains labelled separately.
07_weak_dataset_paper_context_audit.R	D:/IMRS_Project/audit/scripts/07_weak_dataset_paper_context_audit.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/07_weak_dataset_paper_context_audit.R	07_layer2_bridge_context	07.6	generated evaluation tables; mapping reference	weak dataset/context intermediates	YES	NO	00_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Original context audit retained.
08_manuscript_ready_cleanup.R	D:/IMRS_Project/audit/scripts/08_manuscript_ready_cleanup.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/08_manuscript_ready_cleanup.R	07_layer2_bridge_context	07.7	audit intermediates; generated Step09 outputs	manuscript_dataset_role_table.tsv; weak_dataset_paper_context_audit.tsv	YES	NO	00_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Original manuscript-role cleanup retained.
14_create_supplement_provenance_v7.R	D:/IMRS_Project/audit/scripts/14_create_supplement_provenance_v7.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/audit/14_create_supplement_provenance_v7.R	07_layer2_bridge_provenance	07.8	staged verified metadata; designs; role/context audit	supplement_dataset_split_provenance_v7.tsv	YES	NO	readr; dplyr; stringr; tibble	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Output/report paths parameterized only.
00_publication_extra_config.R	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/00_publication_extra_config.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/00_publication_extra_config.R	07_layer2_bridge_publication_helper	07.9	generated outputs; counts; role table	shared in-memory helper configuration	YES	NO	readr; dplyr; tidyr; purrr; stringr; tibble	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Configured roots replace original local paths; GSE262515 arm count lookup is a path adapter.
01_label_permutation_null.R	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/01_label_permutation_null.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/01_label_permutation_null.R	07_layer2_bridge_publication_extra	07.10	generated scores; designs; weights	label_permutation_null_summary.tsv	YES	NO	00_publication_extra_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Original publication-extra computation retained.
02_baseline_signature_benchmarking.R	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/02_baseline_signature_benchmarking.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/02_baseline_signature_benchmarking.R	07_layer2_bridge_publication_extra	07.11	generated scores; role table; designs	baseline_signature_*.tsv	YES	NO	00_publication_extra_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Original comparator computation retained.
03_coefficient_sensitivity_summary.R	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/03_coefficient_sensitivity_summary.R	NA	scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/03_coefficient_sensitivity_summary.R	07_layer2_bridge_publication_extra	07.12	generated audit robustness results; weights	coefficient_sensitivity_summary.tsv	YES	NO	00_publication_extra_config.R	copied_exact_then_path_parameterized	NO	ported_executed_all_scored_bridge	Reads portable audit results directory; computation retained.
run_step09_to_layer2_inputs.R	NA	NA	scripts/portable_full_pipeline/run_step09_to_layer2_inputs.R	07_layer2_bridge_runner	07	generated all_scored Step09 outputs; ported bridge scripts; released references	layer2_generated_inputs package; bridge manifest; Layer2 config	NO	NO	yaml; process launcher	thin_adapter_added	NO	ported_executed_all_scored_bridge	Orchestrates copied bridge scripts, packages outputs, and labels released references; does not implement robustness/statistical analyses.
