file_path	role	created_from_scratch	copied_from_original	original_source_path	copied_from_repo_provenance	repo_provenance_source_path	path_only_modifications	algorithmic_logic_modified	algorithmic_logic_new	should_replace_with_original_port	notes
scripts/portable_full_pipeline/00_preflight_inputs.R	new_preflight_wrapper	YES	NO	NA	NO	NA	NO	NO	NO	NO	Checks packages, paths, raw-count appearance, metadata/sample overlap, and feasible condition labels; does not emit model results.
scripts/portable_full_pipeline/compare_generated_frozen_weights.R	new_canonical_comparison_adapter	YES	NO	NA	NO	scripts/full_pipeline/frozen_gene_reconstruction/check_frozen_gene_weights_reproducibility_TEMPLATE.R	NO	NO	YES	YES	Newly calculates overlap, correlation, and absolute differences for QA; does not generate weights but should be reviewed against provenance comparison template.
scripts/portable_full_pipeline/package_generated_outputs_for_v6_figures.R	new_packaging_adapter	YES	NO	NA	NO	NA	NO	NO	NO	NO	Copies generated/released inputs into staging paths and writes manifest/config; no biological/statistical computation.
scripts/portable_full_pipeline/run_count_to_v6_outputs.R	new_master_runner	YES	NO	NA	NO	NA	NO	NO	NO	NO	Orchestrates copied originals, fixed five-anchor canonical gate, test-mode modeling stop, staged Step08 inputs, logs/manifests, and optional manuscript invocation; dry run verified.
config/full_pipeline_config.yml	new_public_configuration	YES	NO	NA	NO	NA	NO	NO	NO	NO	Public-safe repo-relative paths and execution options.
config/local_d_drive_config_TEMPLATE.yml	new_local_configuration_template	YES	NO	NA	NO	NA	NO	NO	NO	NO	Example local-source paths; intentionally not the default.
docs/count_level_full_pipeline.md	new_documentation	YES	NO	NA	NO	NA	NO	NO	NO	NO	Documents the ported original execution route and disclosed edits.
docs/derived_input_lineage.tsv	new_lineage_documentation	YES	NO	NA	NO	NA	NO	NO	NO	NO	Lineage mapping only.
docs/original_script_porting_inventory.tsv	new_porting_inventory_documentation	YES	NO	NA	NO	NA	NO	NO	NO	NO	Source-to-port inventory only.
docs/codex_porting_audit_report.md	new_audit_documentation	YES	NO	NA	NO	NA	NO	NO	NO	NO	This audit report.
docs/codex_generated_vs_ported_inventory.tsv	new_audit_inventory	YES	NO	NA	NO	NA	NO	NO	NO	NO	This file-level audit inventory.
README.md	existing_readme_updated	NO	NO	NA	NO	NA	NO	NO	NO	NO	Added count-level workflow documentation; no computation.
config/README_config.md	existing_config_readme_updated	NO	NO	NA	NO	NA	NO	NO	NO	NO	Added portable workflow documentation; no computation.
.gitignore	existing_ignore_file_updated	NO	NO	NA	NO	NA	NO	NO	NO	NO	Added generated results ignore entry; no computation.
run_all_manuscript_outputs_v6.R	existing_manuscript_runner_modified_for_staged_config	NO	NO	NA	YES	run_all_manuscript_outputs_v6.R	NO	NO	NO	NO	Config override and boolean parsing changes allow staged generated inputs; no manuscript statistic implementation added.
scripts/active_manuscript/lib/active_config.R	existing_active_config_modified	NO	NO	NA	YES	scripts/active_manuscript/lib/active_config.R	NO	NO	NO	NO	Reads staged config override; no computation.
scripts/full_pipeline/README_full_pipeline.md	existing_provenance_documentation_updated	NO	NO	NA	YES	scripts/full_pipeline/README_full_pipeline.md	NO	NO	NO	NO	Documentation-only update.
scripts/portable_full_pipeline/bridge_to_layer2/audit/00_config.R	ported_audit_bridge_helper	NO	YES	D:/IMRS_Project/audit/scripts/00_config.R	NO	NA	YES	NO	NO	NO	Configured path lookup helper; maps the two GSE262515 manuscript arms to their staged shared prepared count source.
scripts/portable_full_pipeline/bridge_to_layer2/audit/01_dataset_audit_table.R	ported_audit_bridge	NO	YES	D:/IMRS_Project/audit/scripts/01_dataset_audit_table.R	NO	NA	YES	NO	NO	NO	Original audit computation retained; local helper source path only.
scripts/portable_full_pipeline/bridge_to_layer2/audit/03_leave_one_gene_out.R	ported_robustness_bridge	NO	YES	D:/IMRS_Project/audit/scripts/03_leave_one_gene_out.R	NO	NA	YES	NO	NO	NO	Original robustness computation retained.
scripts/portable_full_pipeline/bridge_to_layer2/audit/04_gene_dominance.R	ported_robustness_bridge	NO	YES	D:/IMRS_Project/audit/scripts/04_gene_dominance.R	NO	NA	YES	NO	NO	NO	Original robustness computation retained.
scripts/portable_full_pipeline/bridge_to_layer2/audit/05_threshold_sensitivity.R	ported_robustness_bridge	NO	YES	D:/IMRS_Project/audit/scripts/05_threshold_sensitivity.R	NO	NA	YES	NO	NO	NO	Original robustness computation retained.
scripts/portable_full_pipeline/bridge_to_layer2/audit/06_leave_one_anchor_out.R	ported_robustness_bridge	NO	YES	D:/IMRS_Project/audit/scripts/06_leave_one_anchor_out.R	NO	NA	YES	NO	NO	NO	Original historical anchor scope retained; active five-anchor Layer2 inputs remain released references.
scripts/portable_full_pipeline/bridge_to_layer2/audit/07_weak_dataset_paper_context_audit.R	ported_context_bridge	NO	YES	D:/IMRS_Project/audit/scripts/07_weak_dataset_paper_context_audit.R	NO	NA	YES	NO	NO	NO	Original context computation retained.
scripts/portable_full_pipeline/bridge_to_layer2/audit/08_manuscript_ready_cleanup.R	ported_context_bridge	NO	YES	D:/IMRS_Project/audit/scripts/08_manuscript_ready_cleanup.R	NO	NA	YES	NO	NO	NO	Original role-table cleanup retained.
scripts/portable_full_pipeline/bridge_to_layer2/audit/14_create_supplement_provenance_v7.R	ported_provenance_bridge	NO	YES	D:/IMRS_Project/audit/scripts/14_create_supplement_provenance_v7.R	NO	NA	YES	NO	NO	NO	Original table assembly retained; roots parameterized.
scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/00_publication_extra_config.R	ported_publication_extra_helper	NO	YES	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/00_publication_extra_config.R	NO	NA	YES	NO	NO	NO	Configured path lookup helper; maps GSE262515 manuscript arms to their staged shared count source.
scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/01_label_permutation_null.R	ported_publication_extra_bridge	NO	YES	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/01_label_permutation_null.R	NO	NA	YES	NO	NO	NO	Original permutation analysis retained.
scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/02_baseline_signature_benchmarking.R	ported_publication_extra_bridge	NO	YES	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/02_baseline_signature_benchmarking.R	NO	NA	YES	NO	NO	NO	Original benchmark analysis retained.
scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/03_coefficient_sensitivity_summary.R	ported_publication_extra_bridge	NO	YES	D:/IMRS_Project/05_score/publication_extra_analyses/scripts/03_coefficient_sensitivity_summary.R	NO	NA	YES	NO	NO	NO	Original sensitivity assembly retained.
scripts/portable_full_pipeline/run_step09_to_layer2_inputs.R	new_bridge_orchestrator	YES	NO	NA	NO	NA	NO	NO	NO	NO	Runs ported bridge components, packages generated/reference inputs, writes manifest and Layer2 config; no scientific calculations.
docs/layer2_input_contract.tsv	new_contract_documentation	YES	NO	NA	NO	NA	NO	NO	NO	NO	Documents regenerated and released-reference Layer2 inputs.
scripts/full_pipeline/provenance_legacy/02_adding_control_to_design.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/02_adding_control_to_design.R	YES	scripts/full_pipeline/provenance_legacy/02_adding_control_to_design.R	YES	NO	NO	NO	Existing repository provenance copy modified in place for portable default; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/03_Final_design_file_autogroup.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/03_Final_design_file_autogroup.R	YES	scripts/full_pipeline/provenance_legacy/03_Final_design_file_autogroup.R	YES	NO	NO	NO	Existing repository provenance copy modified in place; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/05_DEseq_contrast_delivery_control.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/05_DEseq_contrast_delivery_control.R	YES	scripts/full_pipeline/provenance_legacy/05_DEseq_contrast_delivery_control.R	YES	NO	NO	NO	Existing repository provenance copy modified in place; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/06A_core_gene_set.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06A_core_gene_set.R	YES	scripts/full_pipeline/provenance_legacy/06A_core_gene_set.R	YES	NO	NO	NO	Existing repository provenance copy path-sanitized only; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/06A_core_gene_set_mannual.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06A_core_gene_set_mannual.R	YES	scripts/full_pipeline/provenance_legacy/06A_core_gene_set_mannual.R	YES	NO	NO	NO	Historical alternate not called by current portable runner.
scripts/full_pipeline/provenance_legacy/06B_gene_heterogeneity.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06B_gene_heterogeneity.R	YES	scripts/full_pipeline/provenance_legacy/06B_gene_heterogeneity.R	YES	NO	NO	NO	Existing repository provenance copy path-sanitized only; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/06C_Power_analysis.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06C_Power_analysis.R	YES	scripts/full_pipeline/provenance_legacy/06C_Power_analysis.R	YES	NO	NO	NO	Existing repository provenance copy path-sanitized only; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/07_weight_estimation.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/07_weight_estimation.R	YES	scripts/full_pipeline/provenance_legacy/07_weight_estimation.R	YES	NO	NO	NO	Existing repository provenance copy path-sanitized only; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/08_score_samples.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/08_score_samples.R	YES	scripts/full_pipeline/provenance_legacy/08_score_samples.R	YES	NO	NO	NO	Existing repository provenance copy path-sanitized only; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/09_calibration_evaluation.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/09_calibration_evaluation.R	YES	scripts/full_pipeline/provenance_legacy/09_calibration_evaluation.R	YES	NO	NO	NO	Existing repository provenance copy path-sanitized only; not called by current portable runner.
scripts/full_pipeline/provenance_legacy/01_run_all_metadata_build.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/01_run_all_metadata_build.R	YES	scripts/full_pipeline/provenance_legacy/01_run_all_metadata_build.R	YES	NO	NO	NO	Upstream metadata builder not called by prepared-count workflow.
scripts/full_pipeline/provenance_legacy/METADATA_BUILD.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/METADATA_BUILD.R	YES	scripts/full_pipeline/provenance_legacy/METADATA_BUILD.R	YES	NO	NO	NO	Upstream metadata builder not called by prepared-count workflow.
scripts/full_pipeline/provenance_legacy/Post-09_Check.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/Post-09_Check.R	YES	scripts/full_pipeline/provenance_legacy/Post-09_Check.R	YES	NO	NO	NO	Optional historical audit, not called by portable runner.
scripts/full_pipeline/provenance_legacy/audit_gse264344.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/audit_gse264344.R	YES	scripts/full_pipeline/provenance_legacy/audit_gse264344.R	YES	NO	NO	NO	Optional audit, not called by portable runner.
scripts/full_pipeline/provenance_legacy/compare_imrs_to_literature.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/literature_check/compare_imrs_to_literature.R	YES	scripts/full_pipeline/provenance_legacy/compare_imrs_to_literature.R	YES	NO	NO	NO	Optional comparator, not called by portable runner.
scripts/full_pipeline/provenance_legacy/post_09A_flag_low_imrs_datasets.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/post_09A_flag_low_imrs_datasets.R	YES	scripts/full_pipeline/provenance_legacy/post_09A_flag_low_imrs_datasets.R	YES	NO	NO	NO	Optional robustness script, not called by portable runner.
scripts/full_pipeline/provenance_legacy/post_09B_diagnose_weak_datasets.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/post_09B_diagnose_weak_datasets.R	YES	scripts/full_pipeline/provenance_legacy/post_09B_diagnose_weak_datasets.R	YES	NO	NO	NO	Optional robustness script, not called by portable runner.
scripts/full_pipeline/provenance_legacy/post_09C_Noise_Rescore.R	existing_repo_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/evaluations/post_09C_Noise_Rescore.R	YES	scripts/full_pipeline/provenance_legacy/post_09C_Noise_Rescore.R	YES	NO	NO	NO	Optional robustness script, not called by portable runner.
scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/06A_core_gene_set.R	existing_focused_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06A_core_gene_set.R	YES	scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/06A_core_gene_set.R	YES	NO	NO	NO	Existing focused provenance copy; not called by portable runner.
scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/06B_gene_heterogeneity.R	existing_focused_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06B_gene_heterogeneity.R	YES	scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/06B_gene_heterogeneity.R	YES	NO	NO	NO	Existing focused provenance copy; not called by portable runner.
scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/06C_Power_analysis.R	existing_focused_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06C_Power_analysis.R	YES	scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/06C_Power_analysis.R	YES	NO	NO	NO	Existing focused provenance copy; not called by portable runner.
scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/07_weight_estimation.R	existing_focused_provenance_path_sanitized	NO	NO	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/07_weight_estimation.R	YES	scripts/full_pipeline/provenance_legacy/frozen_gene_reconstruction/07_weight_estimation.R	YES	NO	NO	NO	Existing focused provenance copy; not called by portable runner.
scripts/portable_full_pipeline/01_prepare_scoring_and_split_designs.R (removed)	removed_scratch_core_design_implementation	YES	NO	NA	NO	NA	NO	NO	YES	YES	REIMPLEMENTED_FROM_SCRATCH_REQUIRES_REVIEW; deleted after replacement by original ports.
scripts/portable_full_pipeline/02_run_deseq2_contrasts.R (removed)	removed_scratch_core_deseq2_implementation	YES	NO	NA	NO	NA	NO	NO	YES	YES	REIMPLEMENTED_FROM_SCRATCH_REQUIRES_REVIEW; deleted after replacement by original Step05 port.
scripts/portable_full_pipeline/03_reconstruct_frozen_gene_weights.R (removed)	removed_scratch_core_modeling_implementation	YES	NO	NA	NO	NA	NO	NO	YES	YES	REIMPLEMENTED_FROM_SCRATCH_REQUIRES_REVIEW; deleted after replacement by original Steps06A-07 ports.
scripts/portable_full_pipeline/04_score_samples_with_frozen_weights.R (removed)	removed_scratch_core_scoring_implementation	YES	NO	NA	NO	NA	NO	NO	YES	YES	REIMPLEMENTED_FROM_SCRATCH_REQUIRES_REVIEW; deleted after replacement by original Step08 port.
scripts/portable_full_pipeline/05_run_step09_evaluation.R (removed)	removed_scratch_core_evaluation_implementation	YES	NO	NA	NO	NA	NO	NO	YES	YES	REIMPLEMENTED_FROM_SCRATCH_REQUIRES_REVIEW; deleted after replacement by original Step09 port.
scripts/portable_full_pipeline/06_package_v6_figure_inputs.R (removed/renamed)	removed_or_renamed_scratch_packaging_adapter	YES	NO	NA	NO	NA	NO	NO	NO	NO	Packaging-only adapter superseded by package_generated_outputs_for_v6_figures.R.
