dataset_id	split_id	tissue	timepoint_h	batch_or_grouping_variable	treatment_group_clean	control_group_clean	n_delivery	n_control	split_definition_basis	automated_or_manual	evidence_source	notes
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none	blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	mva.ad	none	6	6	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none	blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	mva fhbp	none	6	6	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	Tibialis anterior	1008	<local_project_root>/00_metadata/verified_metadata/scoring/GSE166655/GSE166655_design.tsv	delivery aav9 ar45	delivery untreated	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split uses delivery_untreated as control; direct AAV9-AR45-vs-AAV9-GFP shared-vector comparison is not represented here.
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	Tibialis anterior	1008	<local_project_root>/00_metadata/verified_metadata/scoring/GSE166655/GSE166655_design.tsv	delivery aav9 gfp	delivery untreated	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split uses delivery_untreated as control; direct AAV9-AR45-vs-AAV9-GFP shared-vector comparison is not represented here.
GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	skin	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE167521/GSE167521_design.tsv	delivery lnp	baseline 0	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; mouse skin; 24 h
GSE178313	GSE178313_design__T=Liver__H=24__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs	Liver	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE178313/GSE178313_design.tsv	mouse repopulated lnp	mouse repopulated pbs	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__T=Liver__H=24__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external extended transfer; not strict acute validation
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	cell line	16	<local_project_root>/00_metadata/verified_metadata/scoring/GSE262515_tissue/GSE262515_tissue_design.tsv	delivery tlnp sihbv 50nm	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	cell line	16	<local_project_root>/00_metadata/verified_metadata/scoring/GSE262515_tissue/GSE262515_tissue_design.tsv	delivery tlnp sinc 50nm	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	tissue	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE262515_tissue/GSE262515_tissue_design.tsv	delivery tlnp sihbv 1mg kg	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	tissue	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE262515_tissue/GSE262515_tissue_design.tsv	delivery tlnp sihbv 2 5mg kg	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	tissue	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE262515_tissue/GSE262515_tissue_design.tsv	delivery tlnp sinc 1mg kg	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	Blood	1	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	Blood	1	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	Muscle	1	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	Muscle	1	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	dLN	1	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	dLN	1	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	Blood	3	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	Blood	3	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	Muscle	3	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	Muscle	3	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	dLN	3	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	dLN	3	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	Blood	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	Blood	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	Muscle	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	Muscle	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	dLN	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	dLN	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	Blood	12	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	Blood	12	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0	Muscle	12	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0	Muscle	12	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	dLN	12	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	dLN	12	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
