dataset_id	sample_or_group_id	raw_label	cleaned_label	condition_simple	delivery_or_control	label_assignment_basis	evidence_source	needs_review_yes_no	notes
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver::control	WT_uninfected_whole_liver	WT uninfected whole liver	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none::treatment	ad.mva	ad.mva	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none::control	none	none	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none::treatment	ad_empty	ad empty	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none::control	none	none	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none::treatment	ad_fhbp	ad fhbp	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none::control	none	none	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none::treatment	ad_pref	ad pref	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none::control	none	none	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none::treatment	mva.ad	mva.ad	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none::control	none	none	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none::treatment	mva_fhbp	mva fhbp	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none::control	none	none	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated::treatment	delivery_aav9_ar45	delivery aav9 ar45	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated::control	delivery_untreated	delivery untreated	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated::treatment	delivery_aav9_gfp	delivery aav9 gfp	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated::control	delivery_untreated	delivery untreated	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated
GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0::treatment	delivery_lnp	delivery lnp	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0
GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0
GSE178313	GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs::treatment	mouse_repopulated_lnp	mouse repopulated lnp	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs
GSE178313	GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs::control	mouse_repopulated_pbs	mouse repopulated pbs	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0::treatment	delivery_tlnp_sihbv_50nm	delivery tlnp sihbv 50nm	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0::treatment	delivery_tlnp_sinc_50nm	delivery tlnp sinc 50nm	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0::treatment	delivery_tlnp_sihbv_1mg_kg	delivery tlnp sihbv 1mg kg	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0::treatment	delivery_tlnp_sihbv_2_5mg_kg	delivery tlnp sihbv 2 5mg kg	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0::treatment	delivery_tlnp_sinc_1mg_kg	delivery tlnp sinc 1mg kg	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0
