script_file	pipeline_stage	role_in_reconstruction	primary_inputs	primary_outputs	package_dependencies	path_portability_status	execution_status	in_default_reviewer_run_yes_no	notes
08_score_samples.R	06_frozen_IMRS_scoring	Apply frozen anchor weights to sample count matrices and generate sample-level scores	03_counts/<DATASET>/**/gene_counts_clean.tsv; scoring designs; 05_score/anchors/gene_weights.tsv	05_score/transfer/scores/*__imrs_scores.tsv; transfer/qc/*__qc_summary.tsv; top contributors	DESeq2; readr; dplyr; stringr; tibble; purrr	requires_inputs_and_path_review	not_run_documentation_only	no	Frozen weights are loaded and reused; validation coefficients are not updated.
09_calibration_evaluation.R	07_split_contrast_transfer_evaluation	Evaluate split-level delivery-minus-control Delta IMRSz and secondary AUC	05_score/transfer/scores/*__imrs_scores.tsv; verified split designs	05_score/transfer/eval/step09_split_eval.tsv; step09_split_summary.tsv; step09_split_sample_level.tsv; evaluation figures	readr; dplyr; tidyr; stringr; tibble; purrr; ggplot2; pROC	requires_inputs_and_path_review	not_run_documentation_only	no	Evaluation only; principal bridge from Layer 1 score outputs to released manuscript input tables.
Post-09_Check.R	08_post_evaluation_checks	Create post-evaluation dataset/pass-check summaries	step09_split_eval.tsv	05_score/transfer/eval/checks/*.tsv	readr; dplyr; tibble; pROC	requires_path_and_dependency_cleanup	not_run_documentation_only	no	Attempts installation of pROC if absent; retain as optional audit script, not a required reconstruction step.
audit_gse264344.R	09_boundary_context_audit	Stratified dataset-specific audit of GSE264344 score behavior	sample scores; scoring design	05_score/literature_compare/GSE264344_audit/*	readr; dplyr; stringr; tibble; tidyr; ggplot2	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Optional boundary/context audit, not part of frozen-score construction.
compare_imrs_to_literature.R	09_boundary_context_audit	Compare observed dataset summaries with publication-context expectations	sample scores; audit expectation table	05_score/literature_compare/all_dataset_imrs_summary.tsv; imrs_vs_literature.tsv	readr; dplyr; stringr; tibble; purrr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Optional publication-context provenance; review expectation source tables before use.
post_09A_flag_low_imrs_datasets.R	09_boundary_context_audit	Historical diagnostic flag/report script for attenuated settings	score and QC tables; scoring designs	05_score/failure_diagnosis/*	readr; dplyr; stringr; tidyr; purrr; tibble; ggplot2	requires_path_and_terminology_review	not_run_documentation_only	no	Historical diagnostic naming should be replaced with boundary-setting terminology for manuscript-facing use.
post_09B_diagnose_weak_datasets.R	09_boundary_context_audit	Historical diagnostic extraction script for context review	flagged diagnostic results; scores/QC/design; optional DE	05_score/failure_diagnosis/diagnosis/*	readr; dplyr; stringr; tidyr; purrr; tibble	requires_path_and_terminology_review	not_run_documentation_only	no	Historical diagnostic naming; retain for internal provenance unless revised.
post_09C_Noise_Rescore.R	10_robustness_sensitivity	Historical outlier/noise sensitivity rescore using frozen weights	diagnostic tables; counts; designs; frozen weights	05_score/noise_rescore/*	DESeq2; readr; dplyr; stringr; tibble; purrr	requires_path_and_terminology_review	not_run_documentation_only	no	Uses frozen weights without retraining; optional robustness provenance only.
frozen_gene_reconstruction/06A_core_gene_set.R	04_locked_anchor_gene_selection	Focused reconstruction copy of canonical Step06A	Step05 anchor DE tables	05_score/anchors/core_gene_set.tsv; support/audit tables	readr; dplyr; stringr; purrr; tibble; tidyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Duplicate preserved in focused frozen-gene reconstruction subfolder.
frozen_gene_reconstruction/06B_gene_heterogeneity.R	04_locked_anchor_gene_selection	Focused reconstruction copy of canonical Step06B	Step05 anchor DE tables; core_gene_set.tsv	05_score/anchors/gene_heterogeneity.tsv	readr; dplyr; stringr; purrr; tibble; tidyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Duplicate preserved in focused frozen-gene reconstruction subfolder.
frozen_gene_reconstruction/06C_Power_analysis.R	04_locked_anchor_gene_selection	Focused reconstruction copy of canonical Step06C	gene_heterogeneity.tsv; optional core_gene_set.tsv	05_score/anchors/gene_power.tsv	readr; dplyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Duplicate preserved in focused frozen-gene reconstruction subfolder.
frozen_gene_reconstruction/07_weight_estimation.R	05_weight_estimation	Focused reconstruction copy of canonical Step07	core_gene_set.tsv; gene_heterogeneity.tsv; gene_power.tsv	05_score/anchors/gene_weights.tsv	readr; dplyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Duplicate preserved in focused frozen-gene reconstruction subfolder.
frozen_gene_reconstruction/check_frozen_gene_weights_reproducibility_TEMPLATE.R	05_weight_estimation_optional_check	Compare a future regenerated coefficient table with the released frozen coefficients	released frozen_gene_weights.tsv; optional regenerated gene_weights.tsv	results_release_templates/manifests/frozen_gene_weights_reproducibility_check.tsv	readr; dplyr; tibble	requires_staged_path_update	not_run_documentation_only	no	Optional template only; not called by default runner and does not refit IMRS.
